search_query,title,company,category,location,area,min_salary,max_salary,salary_is_predicted,created,contract_time,contract_type,description,redirect_url,job_id,avg_salary,state,text_for_skills,row_id,llm_success,llm_sql,llm_python,llm_r,llm_excel,llm_tableau,llm_power_bi,llm_sas,llm_statistics,llm_machine_learning,llm_data_visualization,llm_database,llm_data_analysis,llm_reporting,llm_communication,llm_cloud,llm_etl,llm_role_category,llm_experience_level,llm_skill_count
data analyst,Warranty Data Analyst / Data Scientist,Stellantis,IT Jobs,"Auburn Hills, Oakland County",US; Michigan; Oakland County; Auburn Hills,82963.55,82963.55,1,2026-05-02T08:59:09Z,NA,NA,"Are you passionate about transforming data into actionable insights that drive product quality and customer satisfaction? We are seeking a strategic and hands-on Data Scientist to support Warranty Analytics and Programs within our North America quality team. The ideal candidate combines strong analytical skills with practical experience building scalable analytics, models, and data products in enterprise environments. You will be part of a talented team driving predictive analytics and early de…",https://www.adzuna.com/land/ad/5717064711?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=B8500A80225D705D53C49AC54C8F01D982500F00,5717064711,82963.55,Michigan,"warranty data analyst / data scientist it jobs are you passionate about transforming data into actionable insights that drive product quality and customer satisfaction? we are seeking a strategic and hands-on data scientist to support warranty analytics and programs within our north america quality team. the ideal candidate combines strong analytical skills with practical experience building scalable analytics, models, and data products in enterprise environments. you will be part of a talented team driving predictive analytics and early de…",1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Data Scientist,mid,4
data analyst,ICT AI Business Analyst/Data Analyst,Stellantis,IT Jobs,"Auburn Hills, Oakland County",US; Michigan; Oakland County; Auburn Hills,106055.44,106055.44,1,2026-05-02T08:59:14Z,NA,NA,"Role Summary The AI Business Analyst (AI BA) bridges business stakeholders and technical teams to identify, define, and deliver AI/ML and generative AI solutions that create measurable business value. This role translates business problems into clear requirements, supports data and model readiness, helps manage delivery from discovery through adoption, and ensures solutions meet governance, risk, and compliance expectations. Key Responsibilities: Partner with stakeholders to understand objectiv…",https://www.adzuna.com/land/ad/5717065011?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=99FCA99C2E11ED2D5346DF882AA6C497B39DB4D7,5717065011,106055.44,Michigan,"ict ai business analyst/data analyst it jobs role summary the ai business analyst (ai ba) bridges business stakeholders and technical teams to identify, define, and deliver ai/ml and generative ai solutions that create measurable business value. this role translates business problems into clear requirements, supports data and model readiness, helps manage delivery from discovery through adoption, and ensures solutions meet governance, risk, and compliance expectations. key responsibilities: partner with stakeholders to understand objectiv…",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Business Analyst,unspecified,3
data analyst,Financial Data Analyst,CAI,IT Jobs,"Miramar, Broward County",US; Florida; Broward County; Miramar,79947.34,79947.34,1,2026-05-02T20:40:04Z,full_time,NA,"Financial Data Analyst Req number: R6473 Employment type: Full time Worksite flexibility: Onsite Who we are CAI is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and focus to do what is right—whatever it takes. Our tailor-made solutions create lasting results ac…",https://www.adzuna.com/land/ad/5717417281?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=CA68353DB3301C04F2B6A34E16CD84EAB48FF1BF,5717417281,79947.34,Florida,"financial data analyst it jobs financial data analyst req number: r6473 employment type: full time worksite flexibility: onsite who we are cai is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. we have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. as a privately held company, we have the freedom and focus to do what is right—whatever it takes. our tailor-made solutions create lasting results ac…",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Financial Analyst,unspecified,1
data analyst,Senior Data Analyst,Trane Technologies,Accounting & Finance Jobs,"Davidson, Mecklenburg County",US; North Carolina; Mecklenburg County; Davidson,160409.17,160409.17,1,2026-04-17T20:48:30Z,NA,NA,"Be a part of our mission! As a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet first. For us at Trane Technologies , and through our businesses including Trane® and Thermo King , sustainability is not just how we do business—it is our business. Do you dare to look at the world's challenges and see impactful possibilities? Do you want to contribute to making a better future? If t…",https://www.adzuna.com/land/ad/5703097118?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=ED6F4160FD5E8390B6C3C5459BD9AACA1766459C,5703097118,160409.17,North Carolina,"senior data analyst accounting & finance jobs be a part of our mission! as a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet first. for us at trane technologies , and through our businesses including trane® and thermo king , sustainability is not just how we do business—it is our business. do you dare to look at the world's challenges and see impactful possibilities? do you want to contribute to making a better future? if t…",4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Data Analyst,senior,1
data analyst,Sr. Data Analyst,InterDent,IT Jobs,"El Segundo, Los Angeles County",US; California; Los Angeles County; El Segundo,117060.75,117060.75,1,2026-05-01T06:06:27Z,full_time,NA,"Company Overview: InterDent Service Corporation provides comprehensive dental support and administrative services to over 165 dental practices, employing more than 400 dentists across eight states. These practices, including the Gentle Dental® and Blue Oak Dental® brands, offer high-quality, patient-centered dental care. Additionally, InterDent operates Capitol Dental Care (CDC), a capitated, value-based care program in Oregon. CDC partners with coordinated care organizations to deliver dental …",https://www.adzuna.com/details/5715748481?utm_medium=api&utm_source=c1d97a58,5715748481,117060.75,California,"sr. data analyst it jobs company overview: interdent service corporation provides comprehensive dental support and administrative services to over 165 dental practices, employing more than 400 dentists across eight states. these practices, including the gentle dental® and blue oak dental® brands, offer high-quality, patient-centered dental care. additionally, interdent operates capitol dental care (cdc), a capitated, value-based care program in oregon. cdc partners with coordinated care organizations to deliver dental …",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Data Analyst,senior,2
data analyst,Financial Data Analyst,Family Farms Inc,Accounting & Finance Jobs,"West Side, Worcester County",US; Massachusetts; Worcester County; West Side,93745.55,93745.55,1,2026-05-03T04:31:31Z,NA,NA,"Financial Data Analyst Worcester, MA Full Time Job Description: A Financial Data Analyst gathers, analyzes, and presents business data to support strategic decision-making. This role focuses on identifying financial trends, forecasting revenue and expenses, and tracking overall business performance. The ideal candidate is detail-oriented, skilled in analytical tools, and experienced in working with retail technology systems. Roles & Responsibilities: Analyze large volumes of financial data to i…",https://www.adzuna.com/details/5717738303?utm_medium=api&utm_source=c1d97a58,5717738303,93745.55,Massachusetts,"financial data analyst accounting & finance jobs financial data analyst worcester, ma full time job description: a financial data analyst gathers, analyzes, and presents business data to support strategic decision-making. this role focuses on identifying financial trends, forecasting revenue and expenses, and tracking overall business performance. the ideal candidate is detail-oriented, skilled in analytical tools, and experienced in working with retail technology systems. roles & responsibilities: analyze large volumes of financial data to i…",6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Financial Analyst,unspecified,1
data analyst,ACM Design Data Program Analyst – Advanced Color & Materials,Stellantis,Admin Jobs,"Auburn Hills, Oakland County",US; Michigan; Oakland County; Auburn Hills,77301.11,77301.11,1,2026-05-02T09:03:00Z,NA,NA,"At Stellantis, Design Data Program Analyst are influential in driving our pride and passion for world-class products. Our analysts help set the pace for the company by maintaining crucial program documentation and releasing information for our products. Analysts at Stellantis are encouraged to think bigger and push harder to support our automotive technologies and designs. Stellantis offers unrivaled career opportunities in the center of automotive innovation and as our products evolve, so do o…",https://www.adzuna.com/land/ad/5717073843?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=96CABA70E1BC59EF5C62BD9858A63C9BABA53B88,5717073843,77301.11,Michigan,"acm design data program analyst – advanced color & materials admin jobs at stellantis, design data program analyst are influential in driving our pride and passion for world-class products. our analysts help set the pace for the company by maintaining crucial program documentation and releasing information for our products. analysts at stellantis are encouraged to think bigger and push harder to support our automotive technologies and designs. stellantis offers unrivaled career opportunities in the center of automotive innovation and as our products evolve, so do o…",7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Other Data/Analytics Role,unspecified,0
data analyst,Information Technology Data Analyst Lead - Health Outcomes,Christus Health,IT Jobs,"Irving, Dallas",US; Texas; Dallas; Irving,28326.35,28326.35,1,2026-04-30T21:10:38Z,NA,NA,"Description Summary: The Information Technology Data Analyst Lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. Data Analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. SQL querying experience in a range of databases such as transac…",https://www.adzuna.com/land/ad/5715024045?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=15450A70262B921BFE35BE31BB715548D544DA9C,5715024045,28326.35,Texas,"information technology data analyst lead - health outcomes it jobs description summary: the information technology data analyst lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. data analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. sql querying experience in a range of databases such as transac…",8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Data Analyst,mid,3
data analyst,Information Technology Data Analyst Lead - Health Outcomes,CHRISTUS Health,IT Jobs,"Irving, Chautauqua County",US; New York; Chautauqua County; Irving,31188.06,31188.06,1,2026-05-02T05:52:32Z,NA,NA,"Job Description Description Summary: The Information Technology Data Analyst Lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. Data Analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. SQL querying experience in a range of databases…",https://www.adzuna.com/land/ad/5716888064?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=7436983331083F27B8E30C70F652FAE36248A369,5716888064,31188.06,New York,"information technology data analyst lead - health outcomes it jobs job description description summary: the information technology data analyst lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. data analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. sql querying experience in a range of databases…",9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Data Analyst,mid,3
data analyst,Data Analyst,Denver Regional Council of Governments,IT Jobs,"Denver, Colorado",US; Colorado; Denver,81644.38,81644.38,1,2026-04-08T21:40:09Z,full_time,NA,"The hiring salary range for this position is $5,716.66 - $7,146.72month or $2,858.33 - $3,573.36/semi-monthly depending on qualifications. The Denver Regional Council of Governments (DRCOG) is hiring a Data Analyst position to join the Data Science and Analytics Team. This position will be integral to DRCOG data analysis and forecasting work and will be tasked with helping to improve the quality of data products developed and maintained by the Data Science and Analytics Team as well as enhance …",https://www.adzuna.com/land/ad/5694004009?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=852BBF337A53BC7E741A37ABFD079479E69E5A93,5694004009,81644.38,Colorado,"data analyst it jobs the hiring salary range for this position is $5,716.66 - $7,146.72month or $2,858.33 - $3,573.36/semi-monthly depending on qualifications. the denver regional council of governments (drcog) is hiring a data analyst position to join the data science and analytics team. this position will be integral to drcog data analysis and forecasting work and will be tasked with helping to improve the quality of data products developed and maintained by the data science and analytics team as well as enhance …",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Data Analyst,unspecified,1
