company_industry,postings,high_salary_postings,high_salary_share,avg_posting_salary,median_posting_salary
Consulting / Professional Services,480,222,0.4625,124509.3118125,121178.26999999999
Government / Public Sector,193,78,0.40414507772020725,119084.54212435233,112330.63
Transportation / Logistics,31,12,0.3870967741935484,101531.8370967742,96195.63
Hospitality,8,3,0.375,106241.0325,90173.61499999999
Media / Entertainment,44,16,0.36363636363636365,118315.56068181818,104775.245
Retail / E-commerce,35,11,0.3142857142857143,108540.77171428571,98277.95
Other / Unknown,71,20,0.28169014084507044,103764.2571830986,93852.18
Finance & Insurance,341,91,0.2668621700879765,109440.43079178885,103826.35
Technology,880,215,0.24431818181818182,106439.12004545455,97526.85500000001
Real Estate,21,4,0.19047619047619047,95244.79714285715,78532.5
Energy / Utilities,73,10,0.136986301369863,96020.74712328767,97500
Manufacturing,50,6,0.12,96396.824,96393.04999999999
Healthcare,540,55,0.10185185185185185,88692.00894444445,82597.805
Education,208,3,0.014423076923076924,35070.35427884616,29033.065000000002
Nonprofit,8,0,0,87501.70375,85100.625
