company_industry,postings,unique_companies,avg_posting_salary,median_posting_salary,min_posting_salary,max_posting_salary,avg_skill_count
Technology,880,390,106439.12004545455,97526.85500000001,41000,381177.66,1.4727272727272727
Healthcare,540,129,88692.00894444445,82597.805,9999.41,324628.7,1.6203703703703705
Consulting / Professional Services,480,93,124509.3118125,121178.26999999999,38987.27,259778.5,1.18125
Finance & Insurance,341,197,109440.43079178885,103826.35,33577.35,400000,1.1114369501466275
Education,208,17,35070.35427884616,29033.065000000002,26044.62,217687.61,0.14423076923076922
Government / Public Sector,193,107,119084.54212435233,112330.63,44514.8,265379.56,0.9844559585492227
Energy / Utilities,73,35,96020.74712328767,97500,38893.1,162769.69,1.1369863013698631
Other / Unknown,71,46,103764.2571830986,93852.18,45617.01,211004.75,0.9577464788732394
Manufacturing,50,37,96396.824,96393.04999999999,43895.1,178291.48,0.66
Media / Entertainment,44,31,118315.56068181818,104775.245,52271.34,300330.7,0.9318181818181818
Retail / E-commerce,35,31,108540.77171428571,98277.95,57167.95,186826.5,1.3428571428571427
Transportation / Logistics,31,18,101531.8370967742,96195.63,46924.23,182995.55,1.032258064516129
Real Estate,21,11,95244.79714285715,78532.5,49150.01,182219.72,0.19047619047619047
Hospitality,8,7,106241.0325,90173.61499999999,54219.5,205836.72,1.75
Nonprofit,8,7,87501.70375,85100.625,46293.63,120924.87,1.375
