llm_role_category_clean,postings,avg_posting_salary,median_posting_salary,min_posting_salary,max_posting_salary,avg_skill_count
Data Scientist,247,143542.9889068826,136100.23,69134.71,259778.5,1.4008097165991902
Data Engineer,260,136575.0948846154,125039.68,51607.94,320186.4,1.873076923076923
Analytics Manager,241,136140.542780083,133550.45,51988.61,268394.62,1.4149377593360997
Other Data/Analytics Role,135,121732.32503703704,111392.92,41656.94,381177.66,0.5851851851851851
Database Role,157,116906.96121019108,108186.29,38619.99,225000,1.643312101910828
Product Analyst,245,95271.15881632653,89000,39757.63,300330.7,0.49387755102040815
Data Analyst,224,94101.52933035714,91555.005,9999.41,189632.55,1.6116071428571428
Financial Analyst,296,93178.31104729729,91886.015,10398.39,246266.9,1.2060810810810811
Operations Analyst,257,90934.73085603112,92682.72,38893.1,180779.6,0.32684824902723736
Business Analyst,267,88353.6243071161,82279.46,38987.27,182219.72,1.9176029962546817
Market Research Analyst,188,84442.06739361702,73904.565,33577.35,400000,1.2340425531914894
Reporting Analyst,213,81085.37154929577,76226.95,44514.8,175471.61,1.6713615023474178
Business Intelligence,253,51976.49490118577,29478.86,26044.62,234482.25,0.5375494071146245
