search_query,postings,avg_posting_salary,median_posting_salary,min_posting_salary,max_posting_salary,avg_skill_count
analytics manager,250,136058.02108,131304.95,51988.61,268394.62,1.42
market research analyst,250,100877.03448,86201.53,33577.35,400000,1.02
reporting analyst,250,84387.63696,79183.89499999999,44514.8,198444.94,1.632
business analyst,249,86886.71714859438,81942.51,38987.27,182219.72,1.9477911646586346
data engineer,249,133863.7850200803,123909.93,51607.94,270435.2,1.7550200803212852
financial analyst,249,89974.76204819277,89543.19,10398.39,246266.9,1.1325301204819278
operations analyst,249,91097.51738955823,92691.56,43351.32,180779.6,0.3092369477911647
product analyst,249,95341.37610441766,89000,39757.63,300330.7,0.5020080321285141
database analyst,248,114665.66125,106659.83,38893.1,320186.4,1.5362903225806452
data analyst,247,94459.26538461538,91868.37,9999.41,206523.34,1.631578947368421
data scientist,247,143533.89809716598,136100.23,69134.71,259778.5,1.3967611336032388
business intelligence,246,50710.4587398374,29434.795,26044.62,234482.25,0.47560975609756095
