company_industry,llm_role_category_clean,skill,skill_label,postings_with_skill,total_group_postings,skill_share,skill_share_pct
Consulting / Professional Services,Analytics Manager,skill_data_analysis,Data Analysis,84,84,1,100
Consulting / Professional Services,Analytics Manager,skill_reporting,Reporting,29,84,0.34523809523809523,34.523809523809526
Consulting / Professional Services,Analytics Manager,skill_r,R,5,84,0.05952380952380952,5.952380952380952
Consulting / Professional Services,Analytics Manager,skill_data_visualization,Data Visualization,2,84,0.023809523809523808,2.380952380952381
Consulting / Professional Services,Analytics Manager,skill_statistics,Statistics,1,84,0.011904761904761904,1.1904761904761905
Consulting / Professional Services,Analytics Manager,skill_cloud,Cloud,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_communication,Communication,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_database,Database,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_etl,Etl,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_excel,Excel,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_machine_learning,Machine Learning,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_powerbi,Powerbi,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_python,Python,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_sas,Sas,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_sql,Sql,0,84,0,0
Consulting / Professional Services,Analytics Manager,skill_tableau,Tableau,0,84,0,0
Consulting / Professional Services,Business Analyst,skill_data_analysis,Data Analysis,17,42,0.40476190476190477,40.476190476190474
Consulting / Professional Services,Business Analyst,skill_reporting,Reporting,4,42,0.09523809523809523,9.523809523809524
Consulting / Professional Services,Business Analyst,skill_communication,Communication,3,42,0.07142857142857142,7.142857142857142
Consulting / Professional Services,Business Analyst,skill_powerbi,Powerbi,2,42,0.047619047619047616,4.761904761904762
Consulting / Professional Services,Business Analyst,skill_data_visualization,Data Visualization,1,42,0.023809523809523808,2.380952380952381
Consulting / Professional Services,Business Analyst,skill_tableau,Tableau,1,42,0.023809523809523808,2.380952380952381
Consulting / Professional Services,Business Analyst,skill_cloud,Cloud,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_database,Database,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_etl,Etl,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_excel,Excel,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_machine_learning,Machine Learning,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_python,Python,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_r,R,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_sas,Sas,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_sql,Sql,0,42,0,0
Consulting / Professional Services,Business Analyst,skill_statistics,Statistics,0,42,0,0
Consulting / Professional Services,Business Intelligence,skill_reporting,Reporting,9,16,0.5625,56.25
Consulting / Professional Services,Business Intelligence,skill_data_analysis,Data Analysis,8,16,0.5,50
Consulting / Professional Services,Business Intelligence,skill_data_visualization,Data Visualization,5,16,0.3125,31.25
Consulting / Professional Services,Business Intelligence,skill_cloud,Cloud,1,16,0.0625,6.25
Consulting / Professional Services,Business Intelligence,skill_database,Database,1,16,0.0625,6.25
Consulting / Professional Services,Business Intelligence,skill_etl,Etl,1,16,0.0625,6.25
Consulting / Professional Services,Business Intelligence,skill_powerbi,Powerbi,1,16,0.0625,6.25
Consulting / Professional Services,Business Intelligence,skill_sql,Sql,1,16,0.0625,6.25
Consulting / Professional Services,Business Intelligence,skill_communication,Communication,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_excel,Excel,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_machine_learning,Machine Learning,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_python,Python,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_r,R,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_sas,Sas,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_statistics,Statistics,0,16,0,0
Consulting / Professional Services,Business Intelligence,skill_tableau,Tableau,0,16,0,0
Consulting / Professional Services,Data Analyst,skill_data_analysis,Data Analysis,12,25,0.48,48
Consulting / Professional Services,Data Analyst,skill_reporting,Reporting,5,25,0.2,20
Consulting / Professional Services,Data Analyst,skill_sql,Sql,5,25,0.2,20
Consulting / Professional Services,Data Analyst,skill_data_visualization,Data Visualization,3,25,0.12,12
Consulting / Professional Services,Data Analyst,skill_etl,Etl,3,25,0.12,12
Consulting / Professional Services,Data Analyst,skill_python,Python,3,25,0.12,12
Consulting / Professional Services,Data Analyst,skill_cloud,Cloud,2,25,0.08,8
Consulting / Professional Services,Data Analyst,skill_communication,Communication,2,25,0.08,8
Consulting / Professional Services,Data Analyst,skill_powerbi,Powerbi,1,25,0.04,4
Consulting / Professional Services,Data Analyst,skill_tableau,Tableau,1,25,0.04,4
Consulting / Professional Services,Data Analyst,skill_database,Database,0,25,0,0
Consulting / Professional Services,Data Analyst,skill_excel,Excel,0,25,0,0
Consulting / Professional Services,Data Analyst,skill_machine_learning,Machine Learning,0,25,0,0
Consulting / Professional Services,Data Analyst,skill_r,R,0,25,0,0
Consulting / Professional Services,Data Analyst,skill_sas,Sas,0,25,0,0
Consulting / Professional Services,Data Analyst,skill_statistics,Statistics,0,25,0,0
Consulting / Professional Services,Data Engineer,skill_machine_learning,Machine Learning,24,59,0.4067796610169492,40.67796610169492
Consulting / Professional Services,Data Engineer,skill_cloud,Cloud,13,59,0.22033898305084745,22.033898305084744
Consulting / Professional Services,Data Engineer,skill_data_analysis,Data Analysis,12,59,0.2033898305084746,20.33898305084746
Consulting / Professional Services,Data Engineer,skill_etl,Etl,12,59,0.2033898305084746,20.33898305084746
Consulting / Professional Services,Data Engineer,skill_database,Database,4,59,0.06779661016949153,6.779661016949152
Consulting / Professional Services,Data Engineer,skill_reporting,Reporting,4,59,0.06779661016949153,6.779661016949152
Consulting / Professional Services,Data Engineer,skill_sql,Sql,3,59,0.05084745762711865,5.084745762711865
Consulting / Professional Services,Data Engineer,skill_python,Python,2,59,0.03389830508474576,3.389830508474576
Consulting / Professional Services,Data Engineer,skill_communication,Communication,1,59,0.01694915254237288,1.694915254237288
Consulting / Professional Services,Data Engineer,skill_data_visualization,Data Visualization,1,59,0.01694915254237288,1.694915254237288
Consulting / Professional Services,Data Engineer,skill_powerbi,Powerbi,1,59,0.01694915254237288,1.694915254237288
Consulting / Professional Services,Data Engineer,skill_r,R,1,59,0.01694915254237288,1.694915254237288
Consulting / Professional Services,Data Engineer,skill_excel,Excel,0,59,0,0
Consulting / Professional Services,Data Engineer,skill_sas,Sas,0,59,0,0
Consulting / Professional Services,Data Engineer,skill_statistics,Statistics,0,59,0,0
Consulting / Professional Services,Data Engineer,skill_tableau,Tableau,0,59,0,0
Consulting / Professional Services,Data Scientist,skill_machine_learning,Machine Learning,79,88,0.8977272727272727,89.77272727272727
Consulting / Professional Services,Data Scientist,skill_data_analysis,Data Analysis,13,88,0.14772727272727273,14.772727272727273
