llm_role_category_clean,skill,skill_label,postings_with_skill,total_role_postings,skill_share,skill_share_pct
Analytics Manager,skill_data_analysis,Data Analysis,240,241,0.995850622406639,99.5850622406639
Analytics Manager,skill_reporting,Reporting,62,241,0.2572614107883817,25.72614107883817
Analytics Manager,skill_data_visualization,Data Visualization,9,241,0.03734439834024896,3.7344398340248963
Analytics Manager,skill_r,R,9,241,0.03734439834024896,3.7344398340248963
Analytics Manager,skill_communication,Communication,7,241,0.029045643153526972,2.904564315352697
Analytics Manager,skill_statistics,Statistics,5,241,0.02074688796680498,2.0746887966804977
Analytics Manager,skill_cloud,Cloud,3,241,0.012448132780082987,1.2448132780082988
Analytics Manager,skill_sql,Sql,3,241,0.012448132780082987,1.2448132780082988
Analytics Manager,skill_excel,Excel,2,241,0.008298755186721992,0.8298755186721992
Analytics Manager,skill_powerbi,Powerbi,1,241,0.004149377593360996,0.4149377593360996
Analytics Manager,skill_database,Database,0,241,0,0
Analytics Manager,skill_etl,Etl,0,241,0,0
Analytics Manager,skill_machine_learning,Machine Learning,0,241,0,0
Analytics Manager,skill_python,Python,0,241,0,0
Analytics Manager,skill_sas,Sas,0,241,0,0
Analytics Manager,skill_tableau,Tableau,0,241,0,0
Business Analyst,skill_data_analysis,Data Analysis,140,267,0.5243445692883895,52.43445692883895
Business Analyst,skill_reporting,Reporting,99,267,0.3707865168539326,37.07865168539326
Business Analyst,skill_sql,Sql,80,267,0.299625468164794,29.962546816479403
Business Analyst,skill_data_visualization,Data Visualization,78,267,0.29213483146067415,29.213483146067414
Business Analyst,skill_excel,Excel,74,267,0.27715355805243447,27.715355805243448
Business Analyst,skill_communication,Communication,16,267,0.0599250936329588,5.992509363295881
Business Analyst,skill_tableau,Tableau,6,267,0.02247191011235955,2.247191011235955
Business Analyst,skill_powerbi,Powerbi,5,267,0.018726591760299626,1.8726591760299627
Business Analyst,skill_cloud,Cloud,3,267,0.011235955056179775,1.1235955056179776
Business Analyst,skill_python,Python,3,267,0.011235955056179775,1.1235955056179776
Business Analyst,skill_database,Database,2,267,0.00749063670411985,0.7490636704119851
Business Analyst,skill_r,R,2,267,0.00749063670411985,0.7490636704119851
Business Analyst,skill_sas,Sas,2,267,0.00749063670411985,0.7490636704119851
Business Analyst,skill_machine_learning,Machine Learning,1,267,0.003745318352059925,0.37453183520599254
Business Analyst,skill_statistics,Statistics,1,267,0.003745318352059925,0.37453183520599254
Business Analyst,skill_etl,Etl,0,267,0,0
Business Intelligence,skill_reporting,Reporting,39,253,0.1541501976284585,15.41501976284585
Business Intelligence,skill_data_analysis,Data Analysis,33,253,0.13043478260869565,13.043478260869565
Business Intelligence,skill_data_visualization,Data Visualization,26,253,0.10276679841897234,10.276679841897234
Business Intelligence,skill_powerbi,Powerbi,9,253,0.03557312252964427,3.557312252964427
Business Intelligence,skill_sql,Sql,9,253,0.03557312252964427,3.557312252964427
Business Intelligence,skill_database,Database,7,253,0.02766798418972332,2.766798418972332
Business Intelligence,skill_tableau,Tableau,6,253,0.023715415019762844,2.371541501976284
Business Intelligence,skill_cloud,Cloud,2,253,0.007905138339920948,0.7905138339920948
