skill,skill_label,postings,avg_posting_salary,median_posting_salary,min_posting_salary,max_posting_salary
skill_machine_learning,Machine Learning,171,148968.12444444443,141000.77,60687.07,259778.5
skill_etl,Etl,135,127779.4468888889,116153.1,72770.74,320186.4
skill_cloud,Cloud,136,127029.25448529412,111730.14,60687.07,381177.66
skill_database,Database,255,115568.23439215687,106471.45,28326.35,238945.16
skill_statistics,Statistics,70,114732.22642857143,113546.61,10398.39,245550.22
skill_python,Python,93,114146.43655913978,109627.88,56007.88,206523.34
skill_sas,Sas,5,109837.646,106347.84,101846.43,122468.09
skill_data_analysis,Data Analysis,1169,107773.43629597947,100587.82,10398.39,320186.4
skill_sql,Sql,232,100459.56435344828,88611.45,28326.35,320186.4
skill_r,R,86,96691.14453488372,83631.46,43449.42,223909.75
skill_powerbi,Powerbi,51,95459.83843137255,92502.32,45602.66,178218.9
skill_tableau,Tableau,30,94877.367,84041.495,56007.88,178218.9
skill_reporting,Reporting,763,92327.04195281782,82696.23,10398.39,320186.4
skill_communication,Communication,139,88809.32071942446,75236.78,47526.96,381177.66
skill_data_visualization,Data Visualization,222,85829.68653153154,80737.22,41238.74,211798.89
skill_excel,Excel,113,81872.24911504425,80344.95,45602.66,186110.2
