state,postings,avg_salary,median_salary,avg_skill_count,median_household_income,poverty_rate,avg_unemployment_rate,latest_unemployment_rate
California,296,109413.80381756756,109413.80381756756,1.1317567567567568,96334,0.11966430251849935,5.3826086956521735,5.1
Virginia,225,118554.744,118554.744,1.2622222222222221,90974,0.09923166908783258,3.152173913043478,3.5
Texas,176,101473.54517045454,101473.54517045454,1.4545454545454546,76292,0.1380372661817198,4.1521739130434785,3.9
New York,172,114308.92215116278,114308.92215116278,1.2093023255813953,84578,0.13700021916536673,4.247826086956522,4.3
Maryland,123,109903.18040650406,109903.18040650406,1.1626016260162602,101652,0.09349868647126636,3.5565217391304347,3.7
Illinois,120,97541.93516666666,97541.93516666666,1.2666666666666666,81702,0.11717428435647316,4.821739130434783,4.8
Florida,116,107999.85560344828,107999.85560344828,1.2844827586206897,71711,0.12617431387860695,3.634782608695652,4.4
North Carolina,115,97417.15426086956,97417.15426086956,1.2173913043478262,69904,0.13166957247475114,3.743478260869565,3.4
New Jersey,91,107854.31945054945,107854.31945054945,1.5054945054945055,101050,0.0977094689034218,4.930434782608696,4.5
Washington,85,112666.38976470588,112666.38976470588,1.2352941176470589,94952,0.09905635137695236,4.582608695652174,5.3
Georgia,82,100778.8643902439,100778.8643902439,1.4024390243902438,74664,0.13476086879327692,3.4217391304347826,3.3
Massachusetts,79,101277.26797468355,101277.26797468355,0.9240506329113924,101341,0.0998217416202257,4.239130434782608,4.6
Michigan,76,88613.29394736842,88613.29394736842,1.3026315789473684,71149,0.13050559525962532,4.908695652173913,4.8
Ohio,76,118801.38644736842,118801.38644736842,1.3157894736842106,69680,0.13238334360874307,4.5,4
Wisconsin,55,99423.3309090909,99423.3309090909,1.018181818181818,75670,0.10577864685286628,3.117391304347826,3
Arizona,51,98854.23333333334,98854.23333333334,1.4509803921568627,76872,0.1275994811763248,3.982608695652174,4
Colorado,50,103305.2286,103305.2286,1.34,92470,0.09383137094541708,4.086956521739131,3.6
Pennsylvania,50,104815.589,104815.589,1.5,76081,0.11776952629482934,4.039130434782608,3.7
Minnesota,48,105001.13187499999,105001.13187499999,1.3541666666666667,87556,0.09197386318481006,3.5043478260869563,4.3
Tennessee,48,102909.14333333333,102909.14333333333,1.0625,67097,0.137736544859406,3.4565217391304346,3.4
Connecticut,45,100545.29466666667,100545.29466666667,0.8444444444444444,93760,0.10026457234687663,3.626086956521739,4.1
Indiana,39,93388.56538461539,93388.56538461539,1.2564102564102564,70051,0.12204960861946967,3.856521739130435,2.6
Kansas,38,99807.13736842106,99807.13736842106,1.3421052631578947,72639,0.11523906119151173,3.6478260869565218,3.4
Iowa,37,80068.31297297297,80068.31297297297,1.0810810810810811,73147,0.10990487839688874,3.3304347826086955,3.3
Utah,35,85759.22,85759.22,1,91750,0.08557002553837406,3.4,3.5
Alabama,32,85906.533125,85906.533125,1.03125,62027,0.15632796709437574,2.9130434782608696,2.3
Delaware,32,100786.875625,100786.875625,1.28125,82855,0.10725553979357236,4.343478260869565,5.2
Arkansas,31,97279.50806451612,97279.50806451612,0.6451612903225806,58773,0.16021199819882354,3.804347826086957,4.2
Missouri,31,87686.90612903226,87686.90612903226,1.1935483870967742,68920,0.12621002405826032,3.847826086956522,3.3
Nebraska,27,92141.34555555556,92141.34555555556,1.5555555555555556,74985,0.1029529708950438,2.8434782608695652,3
South Carolina,27,73444.70962962962,73444.70962962962,0.9259259259259259,66818,0.1418945601105,4.273913043478261,4.9
Oregon,26,83714.47923076923,83714.47923076923,1.5769230769230769,80426,0.11893212635745122,4.717391304347826,5.1
Nevada,23,89029.15565217391,89029.15565217391,1.1304347826086956,75561,0.12592176165452165,5.339130434782609,4.9
Mississippi,22,75552.93272727272,75552.93272727272,1,54915,0.19064732434804532,3.482608695652174,3.1
Idaho,21,68339.82666666666,68339.82666666666,1.2857142857142858,74636,0.10636214449432412,3.621739130434783,3.5
Kentucky,21,74160.26666666666,74160.26666666666,0.8571428571428571,62417,0.16142133276870396,4.708695652173913,3.5
Oklahoma,21,75546.40571428572,75546.40571428572,0.8095238095238095,63603,0.15333337809064285,3.2869565217391306,3.8
New Mexico,20,85865.332,85865.332,0.7,62125,0.18100621209659104,4.160869565217391,4.2
Rhode Island,19,76784.5652631579,76784.5652631579,0.8947368421052632,86372,0.10905573622351444,4.3652173913043475,4.5
South Dakota,19,89390.94210526317,89390.94210526317,1.105263157894737,72421,0.12013255720926384,1.9478260869565216,2.4
Vermont,19,72227.4047368421,72227.4047368421,1.631578947368421,78024,0.10267195809701311,2.4782608695652173,2.6
Hawaii,17,98063.8894117647,98063.8894117647,1.2941176470588236,98317,0.09965589658450756,2.5608695652173914,2.2
Louisiana,17,94894.72705882353,94894.72705882353,1,60023,0.18884450663349456,4.2956521739130435,3.9
New Hampshire,14,84199.67214285713,84199.67214285713,1,95628,0.07155823913480534,2.860869565217391,3.1
North Dakota,14,61978.60642857143,61978.60642857143,1,75949,0.10581470599569714,2.5217391304347827,2.5
Maine,12,73340.56166666668,73340.56166666668,1.5833333333333333,71773,0.10781415933833108,3.1739130434782608,3.3
Wyoming,11,72230.15090909091,72230.15090909091,1.2727272727272727,74815,0.1072664237575055,NA,NA
Montana,10,62984.092,62984.092,0.8,69922,0.12045774647887324,3.1608695652173915,3.9
Alaska,5,59112.352,59112.352,1.6,89336,0.1018246051711797,4.630434782608695,5.1
