company_industry,job_title_group,n,industry_total,title_group_share,title_group_share_pct
Education,Business Intelligence,183,208,0.8798076923076923,87.98076923076923
Technology,Data Analyst,171,880,0.1943181818181818,19.43181818181818
Technology,Operations Analyst,145,880,0.16477272727272727,16.477272727272727
Technology,Data Engineer,133,880,0.15113636363636362,15.113636363636363
Healthcare,Product Analyst,98,540,0.1814814814814815,18.14814814814815
Healthcare,Reporting Analyst,93,540,0.17222222222222222,17.22222222222222
Healthcare,Business Analyst,92,540,0.17037037037037037,17.037037037037038
Consulting / Professional Services,Data Scientist,89,480,0.18541666666666667,18.541666666666668
Technology,Data Scientist,89,880,0.10113636363636364,10.113636363636363
Consulting / Professional Services,Analytics Manager,84,480,0.175,17.5
Technology,Product Analyst,71,880,0.08068181818181819,8.068181818181818
Technology,Business Analyst,70,880,0.07954545454545454,7.954545454545454
Consulting / Professional Services,Data Engineer,59,480,0.12291666666666666,12.291666666666666
Government / Public Sector,Database Role,59,193,0.30569948186528495,30.569948186528496
Healthcare,Market Research Analyst,59,540,0.10925925925925926,10.925925925925926
Finance & Insurance,Financial Analyst,55,341,0.16129032258064516,16.129032258064516
Consulting / Professional Services,Financial Analyst,54,480,0.1125,11.25
Finance & Insurance,Reporting Analyst,53,341,0.15542521994134897,15.542521994134898
Technology,Database Role,53,880,0.060227272727272727,6.0227272727272725
Consulting / Professional Services,Reporting Analyst,48,480,0.1,10
Finance & Insurance,Product Analyst,45,341,0.13196480938416422,13.196480938416421
Consulting / Professional Services,Business Analyst,42,480,0.0875,8.75
Technology,Business Intelligence,42,880,0.04772727272727273,4.772727272727273
Energy / Utilities,Financial Analyst,38,73,0.5205479452054794,52.054794520547944
Healthcare,Data Analyst,38,540,0.07037037037037037,7.037037037037037
Technology,Analytics Manager,38,880,0.04318181818181818,4.318181818181818
Healthcare,Financial Analyst,36,540,0.06666666666666667,6.666666666666667
Government / Public Sector,Other Data/Analytics Role,31,193,0.16062176165803108,16.06217616580311
Consulting / Professional Services,Data Analyst,30,480,0.0625,6.25
Finance & Insurance,Data Engineer,29,341,0.08504398826979472,8.504398826979472
Finance & Insurance,Market Research Analyst,28,341,0.08211143695014662,8.211143695014663
Healthcare,Operations Analyst,27,540,0.05,5
Finance & Insurance,Data Analyst,26,341,0.07624633431085044,7.624633431085044
Healthcare,Data Scientist,26,540,0.04814814814814815,4.814814814814815
Finance & Insurance,Analytics Manager,25,341,0.07331378299120235,7.331378299120235
Finance & Insurance,Operations Analyst,25,341,0.07331378299120235,7.331378299120235
Healthcare,Analytics Manager,25,540,0.046296296296296294,4.62962962962963
Technology,Financial Analyst,24,880,0.02727272727272727,2.727272727272727
Technology,Other Data/Analytics Role,22,880,0.025,2.5
Finance & Insurance,Business Analyst,21,341,0.06158357771260997,6.158357771260997
Government / Public Sector,Business Analyst,21,193,0.10880829015544041,10.880829015544041
Government / Public Sector,Data Analyst,21,193,0.10880829015544041,10.880829015544041
Consulting / Professional Services,Operations Analyst,20,480,0.041666666666666664,4.166666666666666
Manufacturing,Financial Analyst,19,50,0.38,38
Government / Public Sector,Operations Analyst,18,193,0.09326424870466321,9.32642487046632
Healthcare,Other Data/Analytics Role,18,540,0.03333333333333333,3.3333333333333335
Technology,Reporting Analyst,17,880,0.019318181818181818,1.9318181818181817
Consulting / Professional Services,Business Intelligence,16,480,0.03333333333333333,3.3333333333333335
Consulting / Professional Services,Market Research Analyst,16,480,0.03333333333333333,3.3333333333333335
Retail / E-commerce,Analytics Manager,16,35,0.45714285714285713,45.714285714285715
Finance & Insurance,Data Scientist,15,341,0.04398826979472141,4.398826979472141
Government / Public Sector,Data Scientist,14,193,0.07253886010362694,7.253886010362693
Healthcare,Data Engineer,13,540,0.024074074074074074,2.4074074074074074
Consulting / Professional Services,Other Data/Analytics Role,12,480,0.025,2.5
