job_title_group,postings,avg_posting_salary,median_posting_salary,min_posting_salary,max_posting_salary,avg_skill_count
Data Scientist,248,143492.73379032259,136474.49,69134.71,259778.5,1.3911290322580645
Analytics Manager,242,136629.2620661157,134522.91,51988.61,268394.62,1.421487603305785
Data Engineer,260,136421.5975769231,124853.495,51607.94,320186.4,1.8346153846153845
Other Data/Analytics Role,119,125969.25773109244,118596.38,41656.94,381177.66,0.5294117647058824
Database Role,149,118409.46536912752,108800.68,47821.12,225000,1.5973154362416107
Product Analyst,246,95104.56243902439,88752.775,39757.63,300330.7,0.5040650406504065
Market Research Analyst,132,92501.8746969697,83685.45000000001,33577.35,400000,0.8863636363636364
Financial Analyst,256,90901.2741796875,89949.61,10398.39,246266.9,1.1640625
Operations Analyst,250,90634.20916,92650.12,38893.1,180779.6,0.312
Data Analyst,315,89191.42241269842,86144.88,9999.41,206523.34,1.7428571428571429
Business Analyst,262,88047.61736641222,82247.14,38987.27,182219.72,1.881679389312977
Reporting Analyst,249,84078.7683935743,78892.15,44514.8,198444.94,1.6345381526104417
Business Intelligence,255,52676.99764705882,29487.43,26044.62,234482.25,0.5372549019607843
