row_id,role_category,experience_level,batch_id
2001,Operations Analyst,unspecified,21
2002,Operations Analyst,unspecified,21
2003,Operations Analyst,unspecified,21
2004,Operations Analyst,unspecified,21
2005,Operations Analyst,unspecified,21
2006,Operations Analyst,unspecified,21
2007,Operations Analyst,unspecified,21
2008,Operations Analyst,unspecified,21
2009,Operations Analyst,unspecified,21
2010,Operations Analyst,unspecified,21
2011,Operations Analyst,unspecified,21
2012,Operations Analyst,unspecified,21
2013,Operations Analyst,unspecified,21
2014,Operations Analyst,unspecified,21
2015,Operations Analyst,unspecified,21
2016,Operations Analyst,unspecified,21
2017,Operations Analyst,unspecified,21
2018,Operations Analyst,unspecified,21
2019,Operations Analyst,unspecified,21
2020,Operations Analyst,unspecified,21
2021,Operations Analyst,unspecified,21
2022,Operations Analyst,unspecified,21
2023,Operations Analyst,unspecified,21
2024,Operations Analyst,unspecified,21
2025,Operations Analyst,unspecified,21
2026,Operations Analyst,unspecified,21
2027,Operations Analyst,unspecified,21
2028,Operations Analyst,unspecified,21
2029,Operations Analyst,unspecified,21
2030,Operations Analyst,unspecified,21
2031,Operations Analyst,unspecified,21
2032,Operations Analyst,unspecified,21
2033,Operations Analyst,unspecified,21
2034,Operations Analyst,unspecified,21
2035,Operations Analyst,unspecified,21
2036,Operations Analyst,unspecified,21
2037,Operations Analyst,unspecified,21
2038,Operations Analyst,unspecified,21
2039,Operations Analyst,unspecified,21
2040,Operations Analyst,unspecified,21
2041,Operations Analyst,unspecified,21
2042,Operations Analyst,unspecified,21
2043,Operations Analyst,unspecified,21
2044,Operations Analyst,unspecified,21
2045,Operations Analyst,unspecified,21
2046,Operations Analyst,unspecified,21
2047,Operations Analyst,unspecified,21
2048,Operations Analyst,unspecified,21
2049,Operations Analyst,unspecified,21
2050,Operations Analyst,unspecified,21
2051,Operations Analyst,unspecified,21
2052,Operations Analyst,unspecified,21
2053,Operations Analyst,unspecified,21
2054,Operations Analyst,unspecified,21
2055,Operations Analyst,unspecified,21
2056,Operations Analyst,unspecified,21
2057,Operations Analyst,unspecified,21
2058,Operations Analyst,unspecified,21
2059,Operations Analyst,unspecified,21
2060,Operations Analyst,unspecified,21
2061,Operations Analyst,unspecified,21
2062,Operations Analyst,unspecified,21
2063,Operations Analyst,unspecified,21
2064,Operations Analyst,unspecified,21
2065,Operations Analyst,unspecified,21
2066,Operations Analyst,unspecified,21
2067,Operations Analyst,unspecified,21
2068,Operations Analyst,unspecified,21
2069,Operations Analyst,unspecified,21
2070,Operations Analyst,unspecified,21
2071,Operations Analyst,unspecified,21
2072,Operations Analyst,unspecified,21
2073,Operations Analyst,unspecified,21
2074,Operations Analyst,unspecified,21
2075,Operations Analyst,unspecified,21
2076,Operations Analyst,unspecified,21
2077,Operations Analyst,unspecified,21
2078,Operations Analyst,unspecified,21
2079,Operations Analyst,unspecified,21
2080,Operations Analyst,unspecified,21
2081,Operations Analyst,unspecified,21
2082,Operations Analyst,unspecified,21
2083,Operations Analyst,unspecified,21
2084,Operations Analyst,unspecified,21
2085,Operations Analyst,unspecified,21
2086,Operations Analyst,unspecified,21
2087,Operations Analyst,unspecified,21
2088,Operations Analyst,unspecified,21
2089,Operations Analyst,unspecified,21
2090,Operations Analyst,unspecified,21
2091,Operations Analyst,unspecified,21
2092,Operations Analyst,unspecified,21
2093,Operations Analyst,unspecified,21
2094,Operations Analyst,unspecified,21
2095,Operations Analyst,unspecified,21
2096,Operations Analyst,unspecified,21
2097,Operations Analyst,unspecified,21
2098,Operations Analyst,unspecified,21
2099,Operations Analyst,unspecified,21
2100,Operations Analyst,unspecified,21
