llm_role_category_clean,n,share
Financial Analyst,296,0.0992289641300704
Business Analyst,267,0.08950720750921891
Data Engineer,260,0.08716057660073752
Operations Analyst,257,0.08615487763995977
Business Intelligence,253,0.08481394569225612
Data Scientist,247,0.08280254777070063
Product Analyst,245,0.0821320817968488
Analytics Manager,241,0.08079114984914515
Data Analyst,224,0.07509218907140462
Reporting Analyst,213,0.07140462621521958
Market Research Analyst,188,0.06302380154207174
Database Role,157,0.05263157894736842
Other Data/Analytics Role,135,0.04525645323499832
