llm_role_category,n
Business Analyst,260
Data Engineer,260
Financial Analyst,254
Operations Analyst,254
Business Intelligence,253
Data Scientist,247
Analytics Manager,232
Reporting Analyst,212
Product Analyst,206
Market Research Analyst,185
Data Analyst,184
Database Role,151
Other Data/Analytics Role,135
Senior Product Analyst,31
Senior Data Analyst,20
Senior Financial Analyst,20
Project Financial Analyst,15
Data Analytics Manager,9
Database Business Analyst,6
Business Data Analyst,5
Lead Data Analyst,5
Data Product Analyst,3
Database Marketing Analyst,3
Sr Data Analyst,3
Sr. Data Analyst,3
Business/Data Analyst,2
Facilities Data Analyst,2
HR Data Analyst,2
Lead Product Analyst,2
Associate Financial Analyst,1
Client Data Analyst,1
Clinical Data Analyst,1
Digital Product Analyst III,1
Enterprise Data Analyst,1
Healthcare Data Analyst,1
IT Data Analyst,1
Lead Financial Analyst,1
Logistics Data Analyst,1
Personal Lines Product Analyst,1
Program Financial Analyst,1
Research Data Analyst,1
Senior Financial Program Analyst,1
Senior Reporting Analyst,1
"Sr Analyst, Financial",1
Sr Financial Analyst,1
Sr. Financial Analyst,1
Technical Product Analyst,1
Web Data Analyst,1
