column,missing_count,total_rows,missing_rate
contract_type,2745,2983,0.9202145491116326
contract_time,2449,2983,0.8209855849815622
state_fips_bls,175,2983,0.05866577271203487
avg_unemployment_rate,175,2983,0.05866577271203487
observations,175,2983,0.05866577271203487
latest_year,175,2983,0.05866577271203487
latest_period,175,2983,0.05866577271203487
latest_unemployment_rate,175,2983,0.05866577271203487
state,164,2983,0.054978209855849815
state_fips_census,164,2983,0.054978209855849815
median_household_income,164,2983,0.054978209855849815
income_moe,164,2983,0.054978209855849815
poverty_rate,164,2983,0.054978209855849815
search_query,0,2983,0
title,0,2983,0
company,0,2983,0
category,0,2983,0
location,0,2983,0
area,0,2983,0
min_salary,0,2983,0
max_salary,0,2983,0
salary_is_predicted,0,2983,0
created,0,2983,0
description,0,2983,0
redirect_url,0,2983,0
job_id,0,2983,0
avg_salary,0,2983,0
text_for_skills,0,2983,0
skill_sql,0,2983,0
skill_python,0,2983,0
skill_r,0,2983,0
skill_excel,0,2983,0
skill_tableau,0,2983,0
skill_powerbi,0,2983,0
skill_sas,0,2983,0
skill_statistics,0,2983,0
skill_machine_learning,0,2983,0
skill_data_visualization,0,2983,0
skill_database,0,2983,0
skill_data_analysis,0,2983,0
skill_reporting,0,2983,0
skill_communication,0,2983,0
skill_cloud,0,2983,0
skill_etl,0,2983,0
skill_count,0,2983,0
title_clean,0,2983,0
query_clean,0,2983,0
role_category,0,2983,0
row_id,0,2983,0
batch_id,0,2983,0
llm_role_category,0,2983,0
llm_experience_level,0,2983,0
llm_success,0,2983,0
llm_role_category_clean,0,2983,0
