llm_role_category_clean,postings,avg_posting_salary,median_posting_salary,avg_skill_count
Financial Analyst,296,93178.31104729729,91886.015,1.2060810810810811
Business Analyst,267,88353.6243071161,82279.46,1.9176029962546817
Data Engineer,260,136575.0948846154,125039.68,1.873076923076923
Operations Analyst,257,90934.73085603112,92682.72,0.32684824902723736
Business Intelligence,253,51976.49490118577,29478.86,0.5375494071146245
Data Scientist,247,143542.9889068826,136100.23,1.4008097165991902
Product Analyst,245,95271.15881632653,89000,0.49387755102040815
Analytics Manager,241,136140.542780083,133550.45,1.4149377593360997
Data Analyst,224,94101.52933035714,91555.005,1.6116071428571428
Reporting Analyst,213,81085.37154929577,76226.95,1.6713615023474178
Market Research Analyst,188,84442.06739361702,73904.565,1.2340425531914894
Database Role,157,116906.96121019108,108186.29,1.643312101910828
Other Data/Analytics Role,135,121732.32503703704,111392.92,0.5851851851851851
