role_category,postings,avg_salary,median_salary,min_salary,max_salary
Data Scientist,250,142999.5186,142999.5186,142999.5186,142999.5186
Data Engineer,259,136628.56274131275,136628.56274131275,136628.56274131275,136628.56274131275
Analytics Manager,246,136284.6042682927,136284.6042682927,136284.6042682927,136284.6042682927
Database Role,210,113520.08933333334,113520.08933333334,113520.08933333334,113520.08933333334
Market Research Analyst,192,110701.25828125,110701.25828125,110701.25828125,110701.25828125
Product Analyst,246,95104.56243902439,95104.56243902439,95104.56243902439,95104.56243902439
Operations Analyst,250,90634.20916,90634.20916,90634.20916,90634.20916
Financial Analyst,255,90282.54490196079,90282.54490196079,90282.54490196079,90282.54490196079
Data Analyst,312,89261.60102564102,89261.60102564102,89261.60102564102,89261.60102564102
Business Analyst,258,87776.65054263566,87776.65054263566,87776.65054263566,87776.65054263566
Reporting Analyst,250,84236.85144,84236.85144,84236.85144,84236.85144
Business Intelligence,255,52676.99764705882,52676.99764705882,52676.99764705882,52676.99764705882
