skill,postings,avg_posting_salary,median_posting_salary
skill_data_analysis,1169,107773.43629597947,100587.82
skill_reporting,763,92327.04195281782,82696.23
skill_database,255,115568.23439215687,106471.45
skill_sql,232,100459.56435344828,88611.45
skill_data_visualization,222,85829.68653153154,80737.22
skill_machine_learning,171,148968.12444444443,141000.77
skill_communication,139,88809.32071942446,75236.78
skill_cloud,136,127029.25448529412,111730.14
skill_etl,135,127779.4468888889,116153.1
skill_excel,113,81872.24911504425,80344.95
skill_python,93,114146.43655913978,109627.88
skill_r,86,96691.14453488372,83631.46
skill_statistics,70,114732.22642857143,113546.61
skill_powerbi,51,95459.83843137255,92502.32
skill_tableau,30,94877.367,84041.495
skill_sas,5,109837.646,106347.84
