state,postings,has_census_income,has_bls_unemployment
California,296,TRUE,TRUE
Virginia,225,TRUE,TRUE
Texas,176,TRUE,TRUE
New York,172,TRUE,TRUE
NA,164,FALSE,FALSE
Maryland,123,TRUE,TRUE
Illinois,120,TRUE,TRUE
Florida,116,TRUE,TRUE
North Carolina,115,TRUE,TRUE
New Jersey,91,TRUE,TRUE
Washington,85,TRUE,TRUE
Georgia,82,TRUE,TRUE
Massachusetts,79,TRUE,TRUE
Michigan,76,TRUE,TRUE
Ohio,76,TRUE,TRUE
Wisconsin,55,TRUE,TRUE
Arizona,51,TRUE,TRUE
Colorado,50,TRUE,TRUE
Pennsylvania,50,TRUE,TRUE
Minnesota,48,TRUE,TRUE
Tennessee,48,TRUE,TRUE
Connecticut,45,TRUE,TRUE
Indiana,39,TRUE,TRUE
Kansas,38,TRUE,TRUE
Iowa,37,TRUE,TRUE
Utah,35,TRUE,TRUE
Alabama,32,TRUE,TRUE
Delaware,32,TRUE,TRUE
Arkansas,31,TRUE,TRUE
Missouri,31,TRUE,TRUE
Nebraska,27,TRUE,TRUE
South Carolina,27,TRUE,TRUE
Oregon,26,TRUE,TRUE
Nevada,23,TRUE,TRUE
Mississippi,22,TRUE,TRUE
Idaho,21,TRUE,TRUE
Kentucky,21,TRUE,TRUE
Oklahoma,21,TRUE,TRUE
New Mexico,20,TRUE,TRUE
Rhode Island,19,TRUE,TRUE
South Dakota,19,TRUE,TRUE
Vermont,19,TRUE,TRUE
Hawaii,17,TRUE,TRUE
Louisiana,17,TRUE,TRUE
New Hampshire,14,TRUE,TRUE
North Dakota,14,TRUE,TRUE
Maine,12,TRUE,TRUE
Wyoming,11,TRUE,FALSE
Montana,10,TRUE,TRUE
Alaska,5,TRUE,TRUE
