job_id,title,company,search_query,location,state,min_salary,max_salary,avg_salary,redirect_url
5628204546,Licensed Vocational Nurse Clinical Data Analyst II - Quality Management,CHRISTUS Health,data analyst,"Kingsville, Kleberg County",Texas,9999.41,9999.41,9999.41,https://www.adzuna.com/land/ad/5628204546?se=wCHhkTRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=6469C640CB14C03659F67B304A5B879D0201E1BD
5698021827,Licensed Vocational Nurse Clinical Data Analyst II - Quality Management,Christus Health,data analyst,"Kingsville, Kleberg County",Texas,9999.41,9999.41,9999.41,https://www.adzuna.com/land/ad/5698021827?se=OgPLkjRH8RGp_7dMMq5KJA&utm_medium=api&utm_source=c1d97a58&v=DF58FB8D92309660840638208E20DB8F255EFB76
5694201436,Financial Analyst Senior - Finance,Christus Health,financial analyst,"Irving, Dallas",Texas,11271.65,11271.65,11271.65,https://www.adzuna.com/land/ad/5694201436?se=wDOFpDRH8RGJlN0MJ63G5Q&utm_medium=api&utm_source=c1d97a58&v=6F887677718FE94FE8FC20F0CDABF38D2C9E195E
5693888973,Financial Analyst I - 340B,Christus Health,financial analyst,"Irving, Dallas",Texas,10398.39,10398.39,10398.39,https://www.adzuna.com/land/ad/5693888973?se=wDOFpDRH8RGJlN0MJ63G5Q&utm_medium=api&utm_source=c1d97a58&v=B1F962B7451546435FCB38DDF7F0B0637F96AA56
5716894407,Financial Analyst Senior - Finance,Christus Health,financial analyst,"Irving, Chautauqua County",New York,12449.67,12449.67,12449.67,https://www.adzuna.com/land/ad/5716894407?se=nhsPpTRH8RGp_7dMMq5KJA&utm_medium=api&utm_source=c1d97a58&v=5FA52EA9251E71069237940115CBC6F84EA158FF
5716885105,Financial Analyst I - 340B,CHRISTUS Health,financial analyst,"Irving, Chautauqua County",New York,11533.06,11533.06,11533.06,https://www.adzuna.com/land/ad/5716885105?se=nhsPpTRH8RGp_7dMMq5KJA&utm_medium=api&utm_source=c1d97a58&v=1EFF7005FD72605D4113DA92FA630D1061DB2D1F
5691640096,Equity Fundamental Research Analyst (PnL Responsibilities),Selby Jennings,market research analyst,"New York, US",New York,200000,600000,400000,https://www.adzuna.com/details/5691640096?utm_medium=api&utm_source=c1d97a58
5694124882,Head of Marketing,Calpion/Plutus Health,market research analyst,"Addison, Dallas",Texas,324628.7,324628.7,324628.7,https://www.adzuna.com/land/ad/5694124882?se=2IQVqzRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=884A6A5CEE5830E91791B6523DB2EB6120FAA8A4
5717451079,"Principal Product Marketing Manager - Tech, Portfolio and Supply Chain",Amazon,market research analyst,"Boston, Suffolk County",Massachusetts,331452.2,331452.2,331452.2,https://www.adzuna.com/land/ad/5717451079?se=2IQVqzRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=60D395916E11E03FDB900F01FFE0D6C811B52664
5717629882,"Principal Product Marketing Manager - Tech, Portfolio and Supply Chain",Amazon,market research analyst,"International, King County",Washington,381177.66,381177.66,381177.66,https://www.adzuna.com/land/ad/5717629882?se=2IQVqzRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=C87AACF45E68EFB29CDDD7531BB246798F3499AE
5578784124,"Sr Product Analyst, S4 Public Cloud",NBC Universal,product analyst,"Grand Central, Manhattan",New York,300330.7,300330.7,300330.7,https://www.adzuna.com/land/ad/5578784124?se=hOowsDRH8RGsP-USWMELoQ&utm_medium=api&utm_source=c1d97a58&v=42DB13EDD4513767AD897E47A139023BAC8D1984
5697093737,Data Engineer III - AMZ9850191,Amazon,database analyst,"Guadalupe, Maricopa County",Arizona,320186.4,320186.4,320186.4,https://www.adzuna.com/land/ad/5697093737?se=aLbutTRH8RGJlN0MJ63G5Q&utm_medium=api&utm_source=c1d97a58&v=6ABD79A3D04822EE6AAF736F984A535163B059C8
