state,state_fips,series_id,year,period,periodName,month_num,date,unemployment_rate
Alabama,01,LAUST010000000000003,2025,M12,December,12,2025-12-01,2.3
Alabama,01,LAUST010000000000003,2025,M11,November,11,2025-11-01,2.5
Alabama,01,LAUST010000000000003,2025,M09,September,9,2025-09-01,3
Alabama,01,LAUST010000000000003,2025,M08,August,8,2025-08-01,3
Alabama,01,LAUST010000000000003,2025,M07,July,7,2025-07-01,3
Alabama,01,LAUST010000000000003,2025,M06,June,6,2025-06-01,3
Alabama,01,LAUST010000000000003,2025,M05,May,5,2025-05-01,2.5
Alabama,01,LAUST010000000000003,2025,M04,April,4,2025-04-01,2.4
Alabama,01,LAUST010000000000003,2025,M03,March,3,2025-03-01,3
Alabama,01,LAUST010000000000003,2025,M02,February,2,2025-02-01,3.3
Alabama,01,LAUST010000000000003,2025,M01,January,1,2025-01-01,3.3
Alabama,01,LAUST010000000000003,2024,M12,December,12,2024-12-01,2.8
Alabama,01,LAUST010000000000003,2024,M11,November,11,2024-11-01,3
Alabama,01,LAUST010000000000003,2024,M10,October,10,2024-10-01,3
Alabama,01,LAUST010000000000003,2024,M09,September,9,2024-09-01,3
Alabama,01,LAUST010000000000003,2024,M08,August,8,2024-08-01,3.4
Alabama,01,LAUST010000000000003,2024,M07,July,7,2024-07-01,3.3
Alabama,01,LAUST010000000000003,2024,M06,June,6,2024-06-01,3.2
Alabama,01,LAUST010000000000003,2024,M05,May,5,2024-05-01,2.4
Alabama,01,LAUST010000000000003,2024,M04,April,4,2024-04-01,2.4
Alabama,01,LAUST010000000000003,2024,M03,March,3,2024-03-01,2.8
Alabama,01,LAUST010000000000003,2024,M02,February,2,2024-02-01,3.2
Alabama,01,LAUST010000000000003,2024,M01,January,1,2024-01-01,3.2
Alaska,02,LAUST020000000000003,2025,M12,December,12,2025-12-01,5.1
Alaska,02,LAUST020000000000003,2025,M11,November,11,2025-11-01,5.2
Alaska,02,LAUST020000000000003,2025,M09,September,9,2025-09-01,4.1
Alaska,02,LAUST020000000000003,2025,M08,August,8,2025-08-01,3.7
Alaska,02,LAUST020000000000003,2025,M07,July,7,2025-07-01,4.1
Alaska,02,LAUST020000000000003,2025,M06,June,6,2025-06-01,4.7
Alaska,02,LAUST020000000000003,2025,M05,May,5,2025-05-01,4.5
